No UNIDAD,DIA,MES,HORA SALIDA,TIEMPO DE VIAJE,DISTANCIA METROS,LONGITUD SALIDA,LATITUD SALIDA,LONGITUD LLEGADA,LATITUD LLEGADA,DT,SALIDA,SALIDA2
6,2,1,17.11805556,10.04833333,5015.6,-116.964127,32.504103,-116.994223,32.477058,-1.931666666,DP,2
6,2,1,18.38472222,11.36666667,5265.4,-116.963967,32.506915,-116.994162,32.477163,-1.216666667,INCREMENTO,1
6,2,1,19.21,37.56,17116.6,-117.010138,32.525425,-116.894992,32.547673,-11.41,DM,3
4,2,1,19.31166667,7.103333333,1569.2,-116.868795,32.494263,-116.855933,32.498988,-2.603333333,DP,2
6,2,1,19.55944444,11.63333333,1750,-116.902408,32.543855,-116.894992,32.547673,-6.45,DP,2
6,2,1,22.47694444,3.981666667,956.6,-116.972695,32.492408,-116.96712,32.498932,-2.981666667,DP,2
4,3,1,6.525555556,6.126666667,2397.2,-116.868573,32.494272,-116.873285,32.475893,-0.21,INCREMENTO,1
7,3,1,8.644444444,15.59833333,6818,-116.857409,32.489116,-116.884568,32.448828,-4.598333333,DP,2
3,3,1,10.28861111,4.013333333,1093.9,-116.868894,32.495176,-116.870451,32.500649,2.92,INCREMENTO,1
3,3,1,11.85916667,17.36166667,6332.3,-116.907647,32.51653,-116.872131,32.495147,4.905000003,INCREMENTO,1
5,3,1,13.73222222,6.065,1953.4,-116.966337,32.499762,-116.964751,32.505011,-1.065,INCREMENTO,1
6,3,1,14.07972222,12.235,9547.5,-116.90563,32.54381,-116.967222,32.517042,-0.435,INCREMENTO,1
5,3,1,14.63388889,11.835,6708.2,-116.966017,32.505787,-116.959524,32.531094,-3.901666667,DP,2
7,3,1,14.81638889,1.28,291.2,-116.902441,32.465959,-116.899984,32.465341,-0.28,INCREMENTO,1
2,3,1,17.53916667,27.66166667,22896.7,-116.832655,32.462807,-117.010003,32.525442,-4.428333337,DP,2
7,3,1,18.70111111,3.393333333,1754.9,-116.889128,32.459879,-116.887879,32.452342,0.623333334,INCREMENTO,1
5,3,1,19.31555556,15.33666667,6690.7,-116.986132,32.485123,-116.956854,32.499068,-6.336666667,DP,2
2,3,1,19.45138889,20.97166667,20586.1,-116.931108,32.403113,-116.914667,32.46555,-0.488333337,INCREMENTO,1
6,3,1,21.00972222,14.79166667,9864.8,-116.94555,32.540958,-117.010002,32.525517,-2.358333337,DP,2
5,4,1,7.650833333,10.78166667,5075.2,-116.962689,32.508441,-116.92062,32.505588,-3.781666667,DP,2
6,4,1,7.967222222,1.985,197.2,-116.970965,32.492145,-116.970388,32.493847,0.015,INCREMENTO,1
5,4,1,8.566666667,9.151666667,3168.3,-116.962659,32.505359,-116.962026,32.511223,2.848333333,INCREMENTO,1
7,4,1,8.754722222,19.61,7178.3,-116.822793,32.489983,-116.873821,32.467657,-2.61,DP,2
7,4,1,9.654722222,24.415,19497.8,-116.885357,32.449414,-116.890401,32.523189,-8.39833333,DM,3
